job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
拿出挣百万的决心  金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '通讯补贴'],
坐班无责底薪6000起+金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,大专,['五险一金', '专业培训', '交通补贴', '年终奖金', '绩效奖金', '员工旅游', '通讯补贴', '餐饮补贴', '定期体检'],
坐班无责底薪6000起+金融数据分析师/助理+五险双休,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '出国机会', '弹性工作'],
拿出挣百万的决心  万向直招数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '专业培训', '交通补贴', '餐饮补贴', '定期体检'],
地铁沿线&6K起-双休五险无销售&诚招数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '专业培训', '交通补贴', '餐饮补贴', '定期体检'],
不在奔波找工作/金融数据分析师/助理//无销售性质,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检'],
金融数据分析师/助理,华壹信融投资管理（北京）有限责任公司,民营公司 ,50-150人 ,金融/投资/证券,北京,0.8,1万/月,1年经验,大专,['做五休二', '周末双休', '弹性工作', '专业培训'],,,,,,
证券数据分析师,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.5万/月,无工作经验,,['五险一金', '年终奖金', '通讯补贴', '交通补贴', '餐饮补贴', '专业培训'],,,,
底薪+双休+提成聘请数据分析师,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '年终奖金', '通讯补贴', '交通补贴', '餐饮补贴', '专业培训'],,,,
诚聘金融数据分析师,北京东扬国际投资管理有限公司,民营公司 ,150-500人 ,"金融/投资/证券,互联网/电子商务",北京-朝阳区,1,1.5万/月,无工作经验,大专,['五险一金', '员工旅游', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作'],,,
